DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME,DIM_SEX,DIM_AGE,DIM_VALUE_TYPE,VALUE_NUMERIC,VALUE_COMMENTS,DIM_PUBLISH_STATE_CODE
1,World,2023,Female,10 to 14 years,RATE_PER_1000,1.5,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2000,Female,10 to 14 years,RATE_PER_1000,3.28,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2001,Female,10 to 14 years,RATE_PER_1000,3.23,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2002,Female,10 to 14 years,RATE_PER_1000,03.06,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2003,Female,10 to 14 years,RATE_PER_1000,2.92,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2004,Female,10 to 14 years,RATE_PER_1000,2.69,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2005,Female,10 to 14 years,RATE_PER_1000,2.44,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2006,Female,10 to 14 years,RATE_PER_1000,2.34,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2007,Female,10 to 14 years,RATE_PER_1000,2.3,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2008,Female,10 to 14 years,RATE_PER_1000,2.26,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2009,Female,10 to 14 years,RATE_PER_1000,2.14,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2010,Female,10 to 14 years,RATE_PER_1000,2.1,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2011,Female,10 to 14 years,RATE_PER_1000,02.05,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2012,Female,10 to 14 years,RATE_PER_1000,02.01,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2013,Female,10 to 14 years,RATE_PER_1000,1.96,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2014,Female,10 to 14 years,RATE_PER_1000,1.86,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2015,Female,10 to 14 years,RATE_PER_1000,1.8,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
1,World,2016,Female,10 to 14 years,RATE_PER_1000,1.73,"United Nations, Department of Economic and Social Affairs, Population Division (2022). World Population Prospects: The 2022 Revision, custom data acquired via website.",PUBLISHED
